pind,nstep,position,velocity,acceleration
0,19,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000004e+02  5.79999996e+02 -1.09332755e-13],0.01651426657645061
0,20,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000005e+02  5.79999995e+02 -5.70922678e-14],0.018453528127793106
0,21,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000006e+02  5.79999994e+02 -4.71334942e-14],0.020497620312198706
0,22,[-953.19801238  600.74403031 -839.2347966 ],[5.80000007e+02 5.79999993e+02 8.04676538e-14],0.022646534603154574
0,23,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000008e+02  5.79999992e+02 -6.42376429e-15],0.024900273842831663
0,24,[-953.19801238  600.74403031 -839.2347966 ],[5.80000009e+02 5.79999991e+02 5.10275221e-14],0.027258835189059024
0,25,[-953.19801238  600.74403031 -839.2347966 ],[5.80000010e+02 5.79999990e+02 2.37294431e-13],0.029722224326178544
0,26,[-953.19801238  600.74403031 -839.2347966 ],[5.80000011e+02 5.79999989e+02 3.65417344e-13],0.032290438412019284
0,27,[-953.19801238  600.74403031 -839.2347966 ],[5.80000012e+02 5.79999988e+02 4.75309587e-13],0.034963474604410294
0,28,[-953.19801238  600.74403031 -839.2347966 ],[5.80000014e+02 5.79999986e+02 7.34163827e-13],0.03774133858769346
0,29,[-953.19801238  600.74403031 -839.2347966 ],[5.80000016e+02 5.79999984e+02 9.75452488e-13],0.040624024677526904
0,30,[-953.19801238  600.74403031 -839.2347966 ],[5.80000017e+02 5.79999983e+02 1.29326313e-12],0.043611535716081555
0,31,[-953.19801238  600.74403031 -839.2347966 ],[5.80000019e+02 5.79999981e+02 1.70189265e-12],0.04670387170335743
0,32,[-953.19801238  600.74403031 -839.2347966 ],[5.80000021e+02 5.79999979e+02 2.15735456e-12],0.04990103263935452
0,33,[-953.19801238  600.74403031 -839.2347966 ],[5.80000023e+02 5.79999977e+02 2.69899115e-12],0.05320301568190188
0,34,[-953.19801238  600.74403031 -839.2347966 ],[5.80000026e+02 5.79999974e+02 3.38090062e-12],0.05660982367317046
